,Movie,Song,Lyrics,sentiment,compound,neg,pos,neu,group
179,Descendants 2,You and Me,lookin' back at yesterday i thought i gave it everything but still there so much road ahead of me when i looked into your eyes i guess i didn't recognise who we are and all that we can be sometimes it hard to find yourself but it worth it in the end 'cause in your heart is where it all begins we gotta be bold we gotta be brave we gotta be free we gotta get loud makin' that change you gotta believe whoa oh oh we'll look deep inside and we'll rise up and shine we can be bold we can be brave let everyone see it starts with you and me whoa oh oh whoa oh ohhey it starts with you and me whoa oh oh whoa oh ohhey it starts with you and me there something special that i've learned it together we can change the world everybody got somethin' they can bring when you take a look inside yourself do you wish that you were something else but who you are is who you need to be sometimes it hard to find yourself but it worth it in the end 'cause in your heart is where it all begins we gotta be bold we gotta be brave we gotta be free we gotta get loud makin' that change you gotta believe whoa oh oh we'll look deep inside and we'll rise up and shine we can be bold we can be brave let everyone see it starts with you and me whoa oh oh whoa oh ohhey it starts with you and me whoa oh oh whoa oh ohhey it starts with you and me if we all can do our part we know that it can be the start to bring about the difference that we need yeah i promise we can work this out i promise we can see it through don't you know it up to me it up to me and you we gotta be bold we gotta be brave we gotta be free wanna be free we gotta get loud makin' that change you gotta believe whoa oh oh we'll look deep inside and we'll rise up and shine we can be bold we can be brave let everyone see it starts with you and me whoa oh oh whoa oh ohhey it starts with you and me whoa oh oh whoa oh ohhey it starts with you and me whoa oh oh whoa oh ohhey it starts with you and me whoa oh oh whoa oh ohhey it starts with you and me,"{'neg': 0.007, 'neu': 0.817, 'pos': 0.176, 'compound': 0.9981}",0.9981,0.007,0.176,0.817,1
180,Descendants 3,Break This Down,it time to bring it together time for a brand new start we're gonna put it in mo-o-otion break down what keeps us apart no more no division we're down new team got the vision unite so we stand now we're livin' marchin' in the light one two one two like i see you you see me imperfect perfectly face to face we can see clearly our similarities like day and night wrong or right we come together for a good time we're gonna break this down we're gonna rock the town everyone all around let be whoever like this stronger together like this believing in second chances and we're all starting today marchin' on in a new land our world a better a better place welcome the addition new love unity new beginning for us harmony that our mission marchin' in the light one two one two like i see you you see me imperfect perfectly face to face we can see clearly our similarities like day and night wrong or right we come together for a good time we're gonna break this down we're gonna rock the town everyone all around just be whoever like this stronger together like this we reunited like this bringin' it bringin' it b-b-bringin' it down bringin' it bringin' it b-b-bringin' it down bringin' it bringin' it b-b-bringin' it down bringin' it bringin' it b-b-bringin' it down down we're gonna break this down break this down we're gonna rock the town oh we're gonna rock the town everyone all around all around just be whoever like this come on stronger together like this we reunited like this we're gonna break this down come on we're gonna break this down we're gonna rock the town come on everybody on the isle everyone all around all around just be whoever like this stronger together like this stronger together like this we reunited like this hey bringin' it bringin' it b-b-bringin' it down,"{'neg': 0.039, 'neu': 0.719, 'pos': 0.242, 'compound': 0.9971}",0.9971,0.039,0.242,0.719,1
181,Descendants 3,Did I Mention,i met this girl who rocked my world like it never been rocked and now i'm living just for her and i won't ever stop i never thought that it could happen to a guy like me but now look at what you've done you got me down on my knee,"{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.4486}",0.4486,0.0,0.101,0.899,1
182,Descendants 3,Dig a Little Deeper,it don't matter what you look like it don't matter what you wear how many rings you got on your finger we don't care no we don't care it don't matter where you come from don't even matter what you are a dog a pig a cow a goat we've had 'em all in here we've had 'em all in here and they all knew what they wanted what they wanted me to do i told 'em what they needed just like i be tellin' you you gotta dig a little deeper find out who you are you gotta dig a little deeper it really ain't that far when you find out who you are you'll find out what you need blue skies and sunshine guaranteed you gotta dig listen prince froggy is a rich little boy you wanna be rich again that ain't gonna make you happy now did it make you happy then money ain't got no soul money ain't got no heart all you need is some self-control to make yourself a brand new start you gotta dig a little deeper don't have far to go you gotta dig a little deeper tell the people mama told you so can't tell you what you'll find maybe love will grant you peace of mind dig a little deeper and you'll know you will know miss froggy might i have a word you a hard one that what i heard your daddy was a lovin' man family through and through you your daddy daughter what he had in him you got in you you gotta dig a little deeper for you it gonna be tough you gotta dig a little deeper you ain't dug near far enough dig down deep inside yourself find out what you need blue skies and sunshine guaranteed you gotta dig a little deeper for you it gonna be tough you gotta dig a little deeper you ain't dug near far enough dig down deep inside yourself find out what you need blue skies and sunshine guaranteed guaranteed guaranteed you gotta dig a little deeper dig a little deeper you gotta dig a little deeper dig a little deeper dig a little deeper,"{'neg': 0.041, 'neu': 0.839, 'pos': 0.12, 'compound': 0.9877}",0.9877,0.041,0.12,0.839,1
183,Descendants 3,Do What You Gotta Do,listen little girl you're talkin' to a god and i don't wanna hear the drama kindness ain't my brand oh i guess that why you ran try bein' married to your mama you stink at bein' a dad poor mali are you sad not as sad as you without your powers i didn't come to fight for once do somethin' right i steal souls were you expecting flowers i only need you 'cause i came here for somethin' i've given you everything by givin' you nothin' i did what i had to do no you only did what best for you well you could learn a thing or two when push comes to shove you do what you gotta do yeah you were never there guess you don't have a phone you never called to say i miss you are you kidding is this a joke you need to let it go you're stronger with those daddy issues oh thank you show me some respect it ain't easy to neglect my attention would've made you softer oh should i be proud don't turn this thing around i guess you are your father daughter don't think i need you i just came here for somethin' i've given you everythin' by givin' you nothin' i did what i had to do i made it on my own no thanks to you well you could learn a thing or two when push comes to shove you do what you gotta do how 'bout i go with you and we'll spend some time how 'bout you stay here 'cause you're out of your mind let make new memories you can show me the town no you can keep your memories now get over it i am over it i'm over you bein' over it let dance i did what i had to do no you only did what best for you well you could learn a thing or two when push comes to shove you do when push comes to shove you do when push comes to shove you do what you gotta do yeah please,"{'neg': 0.075, 'neu': 0.793, 'pos': 0.132, 'compound': 0.9581}",0.9581,0.075,0.132,0.793,1
184,Descendants 3,Good to Be Bad,attention isle of the lost vk day is today mel and the other vks will collect the applications today and announce who gets to go to auradon prep i got my application i have mine right here please pick me mal vk day is here from the north to the south from the east to the west lost boys lost girls you all know you're the best hit the streets it your day turn it up now your chance it time to get up on your feet and dance whoo anybody wanna be like us everybody wanna be like us hey all the boys from auradon and the girls 'cause they know what up huh your life could change today your life could change today these streets named after us because we paved the way everyone come and take your shot now the time show 'em what you got 'cause everyone is gonna get their chance they said that being from the isle was bad well it good to be bad and we're proof of that used to be lost now we're on the map used to steal stacks now we're giving back remember that it good to be bad if you got pride raise your v up high wave 'em wide side to side feel the vibe it good to be bad huh i wanna see you all rep your block i wanna see you all rep your block hey show your pride let me hear you shout we're from the isle of the lost yeah we're here to celebrate we're here to elevate if you're down then make your move but you best not hesitate come on today the day that you won't forget the best to come ain't happened yet take a bow it won't be your last you're from the isle if anybody asks whoo it good to be bad and we're proof of that used to be lost now we're on the map used to steal stacks now we're giving back remember that it good to be bad if you got pride raise your v up high wave 'em wide side to side feel the vibe it good to be bad they can try to deny our style but we were born this way 'cause you can take the vk outta the isle but you can't take the isle out the vk if you wanna make it hype not a moment to waste make it loud make it live make it jump to the bass make it what you want but you'd better make your case 'cause the isle makes us and we're reppin' this place so when i say v you say k v k v k when i say all you say day all day all day when i say v you say k v k v k when i say all you say day all day come on hey it good to be bad it good to be bad and we're proof of that used to be lost now we're on the map used to steal stacks now we're giving back remember that it good to be bad if you got pride raise your v up high wave 'em wide side to side feel the vibe it good to be bad,"{'neg': 0.117, 'neu': 0.739, 'pos': 0.144, 'compound': 0.8902}",0.8902,0.117,0.144,0.739,1
185,Descendants 3,My Once Upon a Time,here you are alone and you deserve it your friends have turned to stone and that on you you had a cause to serve but did you serve it or did you see yourself in a way that wasn't true this is not your father fairytale and no it not your mother fault you fail so when your story comes to light make sure the story that they write goes once upon a time a girl tried harder once upon a time she tried again once upon a braver choice she took a risk she used her voice and that will be my once upon a time this time why tell all those lies you feel unworthy like there isn't solid ground for you to stand but a stack of lies is not a firm foundation you cannot build a castle on a mountain made of sand this is not your mother dark desire and no it not your father hair on fire turns out it you who not awake so if there change you wanna make take once upon a time she fought a dragon once upon a time that beast was me once upon a misspent youth she faced herself she spoke the truth that how i see my once upon a time this time life is not a storybook but life unfolds in chapters turn the page and start to make amends there no pre-written guarantee of happily ever after step into your greatness before your story ends so when your story ends they'll say once upon a time a girl flew higher once upon a time she made things right once upon a time that binds she changed her heart to change their minds that got to be my once upon a time this once upon a time i'll finally see my once upon a time this time,"{'neg': 0.118, 'neu': 0.793, 'pos': 0.089, 'compound': -0.8306}",-0.8306,0.118,0.089,0.793,2
186,Descendants 3,Night Falls,watch your back watch your back watch your back watch your back we can counter their attack hit 'em till the armor cracks this could get a little sticky how to win this battle could be tricky but i know the best way fall back let me lead you hold the line and we'll bring them to their knees swords in the air if you're with me they got us outnumbered one to fifty the victory is ours 'cause i got a strategy you take the left and the rest of you can follow me this is my crew well this is my squad this is my turf oh my gosh look guys we've got bigger fish to fry put your differences aside 'cause right now we're on the same side until the night falls everyone we'll stay together till the battle is done watch your back watch your back watch your back watch your back we can counter their attack hit 'em till the armor cracks until the night falls we're aligned it doesn't mean that we're on the same side watch your back watch your back watch your back watch your back hit 'em hard and hit 'em fast they're too heavy to react the situation getting kinda heavy hold your weapons tight keep 'em steady 'cause if we stick together we can make it out alive i'll cause a distraction you attack them from the side all my soldiers stand at the ready we can cut 'em up like confetti we'll hit 'em from the front you counter from behind don't forget the fate of auradon on the line this is all-out war they got us outnumbered the way the swords clash is the sound of the thunder and we are not going under we will never run for cover we battle for the victory and ride for each other until the night falls everyone we'll stay together till the battle is done back to back back to back back to back back to back we can counter their attack hit 'em 'til the armor cracks until the night falls we're aligned it doesn't mean that we're on the same side back to back back to back back to back back to back hit 'em hard and hit 'em fast they're too heavy to react suit of armor strong and true make this metal bust a move ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah until the night falls you can trust i'm gonna help you win this battle because i got your back got your back got your back got your back all for one and that a fact knights fall pitch black,"{'neg': 0.099, 'neu': 0.818, 'pos': 0.083, 'compound': -0.7312}",-0.7312,0.099,0.083,0.818,2
187,Descendants 3,One Kiss,don't freak out it okay 'cause true love can save the day and i think we feel the same but i don't know when we met it was sweet he was oh so into me seems like things are meant to be but i don't know does he love me or does he love me not do i love him and is it strong enough one kiss one kiss it all comes down to this one kiss one kiss ohh one kiss one kiss this moment could be it i i i wanna know so here i go goooo keep it cool keep it calm think he loved me all along but maybe i got it wrong so i don't know he so good got my back but maybe i'm just too bad could we be a perfect match now i don't know does he love me or does he love me not do i love him and is it strong enough ooh ooh ooh one kiss one kiss it all comes down to this one kiss one kiss ohh one kiss one kiss this moment could be it i i i wanna know so here i go ah-oop oop ah-oop oop yeah here i go i feel my heart bea-beating saying it what i want but if i'm dream-dream-dreaming this is gonna hurt either way i will or i won't what if i do and he don't is he my romeo oh there only one one way to really know hey hey one kiss one kiss it all comes down to this one kiss one kiss ohh one kiss one kiss this moment could be it i i i wanna know so here i go ah-oop oop ah-oop oop here i go ah-oop oop ah-oop oop here i go ah-oop oop ah-oop oop here i go ah-oop oop,"{'neg': 0.034, 'neu': 0.586, 'pos': 0.38, 'compound': 0.9993}",0.9993,0.034,0.38,0.586,1
188,Descendants 3,Queen of Mean,i'm so tired of pretending where my happy ending i followed all the rules i drew inside the lines i never asked for anything that wasn't mine i waited patiently for my time but when it finally came he called her name and now i feel this overwhelming pain i mean it in my veins i mean it in my brain my thoughts are running in a circle like a toy train i'm kinda like a perfect picture with a broken frame i know exactly who to blame i never thought of myself as mean i always thought that i'd be the queen and there no in between 'cause if i can't have that then i would be the leader of the dark and the bad now there a devil on my shoulder where the angels used to be and he calling me the queen being nice was my pastime but i've been hurt for the last time and i won't ever let another person take advantage of me the anger burns my skin third-degree now my blood boiling hotter than a fiery sea there nobody gettin' close to me they're gonna bow to the evil queen your nightmare my dream just wait until they fall to my wicked schemes i never thought of myself as mean i always thought that i'd be the queen and there no in between 'cause if i can't have that then i would be the leader of the dark and the bad now there a devil on my shoulder where the angels used to be and he calling me the queen of mean calling me calling me the queen of mean calling me calling me the queen of mean something pulling me it so magnetic my body is moving i'm sure where i'm headed all of my senses have left me defenseless this darkness around me is promising vengeance the price that i'm willing to pay is expensive there nothing to lose when you're lonely and friendless so my only interest is showing this princess that i am the queen and my reign will be endless i want what i deserve i want to rule the world sit back and watch them learn it finally my turn if they want a villain for a queen i'm gonna be one that they've never seen i'll show them what it means now that i am that i will be the ruler of the dark and the bad 'cause the devil on my shoulder where the angels used to be and he calling me the queen of mean calling me calling me the queen of mean calling me calling me i want what i deserve,"{'neg': 0.184, 'neu': 0.732, 'pos': 0.084, 'compound': -0.9962}",-0.9962,0.184,0.084,0.732,2
189,Descendants 3,Rotten to the Core (D3 Remix),they say i'm trouble they say i'm bad so don't make me mad a dirty no-good down to the bone i'll take that trophy back to my zone so i've got some mischief in my blood my fashion wicked hands off my gloves they think i'm callous a low-life hood the times are changin' bad is the new good mirror mirror on the wall who the baddest of them all welcome to my wicked world wicked world i'm rotten to the core core rotten to the core i'm rotten to the core core who could ask for more i'm nothing like the kid next like the kid next door i'm rotten to the core i'm rotten to the i'm rotten to the core long as i'm leader of this lost isle there'll always be a little evil behind my smile don't double-cross me i'll get you hooked you think i'm kiddin' just take a look i'm not a sweetheart i'm not your friend but you better invite me or taste revenge i'm on a hustle take what i can get show me the money you ain't seen nothing yet mirror mirror on the wall who the baddest of them all welcome to my wicked world wicked world i'm rotten to the core core rotten to the core i'm rotten to the core core who could ask for more i'm nothing like the kid next like the kid next door i'm rotten to the core i'm rotten to the i'm rotten to the core core rotten to the core i'm rotten to the core core who could ask for more i'm nothing like the kid next like the kid next door i'm rotten to the core i'm rotten to the i'm rotten to the core,"{'neg': 0.31, 'neu': 0.644, 'pos': 0.046, 'compound': -0.9984}",-0.9984,0.31,0.046,0.644,2
190,Descendants 3,VK Mashup,from the north to the south from the east to the west lost boys lost girls you all know you're the best hit the streets it your day turn it up now your chance it time to get up on your feet and dance anybody wanna be like us everybody wanna be like us hey all the boys from auradon and the girls 'cause they know what up so i got some mischief in my blood can you blame me i never got no love we got all the ways to be w-i-c-k-e-d we got all the ways to be w-i-c-k-e-d mirror mirror on the wall who the baddest of them all it good to be bad and we're proof of that used to be lost now we're on the map used to steal stacks now we're giving back remember that i'm rotten to the core core rotten to the core i'm rotten to the core core who could ask for more i'm nothing like the kid nextlike the kid next door i'm rotten to the- i'm rotten to the- i'm rotten to the core with us evil lives on the right side of wrong there so many ways to be wicked i wanna see you all rep your block i wanna see you all rep your block hey show your pride let me hear you shout we're from the isle of the lost call me a schemer call me a freak how can you say that i'm just unique it good to be bad and we're proof of that used to be lost now we're on the map used to steal stacks now we're giving back remember that it good to be bad we got all the ways to be w-i-c-k-e-d w-i-c-k-e-d you ain't seen nothin' yet it good to be bad,"{'neg': 0.214, 'neu': 0.693, 'pos': 0.092, 'compound': -0.993}",-0.993,0.214,0.092,0.693,2
191,Dumbo,Baby Mine,baby mine don't you cry baby mine dry your eyes rest your head close to my heart never to part baby of mine little one when you play pay no heed to what they say let your eyes sparkle and shine never a tear baby of mine if they knew all about you they'd end up loving you too all those same people who scold you what they'd give just for the right to hold you from your head down to your toes you're not much goodness knows but you're so precious to me sweet as can be baby of mine,"{'neg': 0.056, 'neu': 0.784, 'pos': 0.161, 'compound': 0.9331}",0.9331,0.056,0.161,0.784,1
192,Dumbo,Casey Junior,casey junior comin' down the track comin' down the track with a smoky stack hear him puffin' comin' round the hill casey here to thrill every jack and jill every time his funny little whistle sounds toot toot everybody hurries to the circus grounds time for lemonade and cracker jacks casey junior back casey junior back,"{'neg': 0.0, 'neu': 0.908, 'pos': 0.092, 'compound': 0.6597}",0.6597,0.0,0.092,0.908,1
193,Dumbo,Clown Song,oh we're gonna hit the big boss for a raise yes we're gonna hit the big boss for a raise oh we're gonna get more money 'cause we know that we're funny we're gonna hit the big boss for a raise,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.6808}",0.6808,0.0,0.135,0.865,1
194,Dumbo,Look Out for Mr. Stork,look out for mr stork that persevering chap he'll come along and drop a bundle in your lap you may be poor or rich it doesn't matter which millionaires they get theirs like the butcher and the baker so look out for mr stork and let me tell you friend don't try to get away he'll find you in the end he'll spot you out in china or he'll fly to county cork so you better look out for mr stork look out for mr stork he got you on his list and when he comes around it useless to resist remember those quintuplets and the woman in the shoe maybe he got his eye on you,"{'neg': 0.07, 'neu': 0.834, 'pos': 0.096, 'compound': 0.6602}",0.6602,0.07,0.096,0.834,1
195,Dumbo,Pink Elephants on Parade,look out look out pink elephants on parade here they come hippety hoppety they're here and there pink elephants everywhere look out look out they're walking around the bed on their head clippity cloppity arrayed in braid pink elephants on parade what'll i do what'll i do what an unusual view i can stand the sight of worms and look at microscopic germs but technicolor pachyderms is really too much for me i am not the type to faint when things are odd or things are quaint but seeing things you know that ain't can certainly give you an awful fright what a sight chase 'em away chase 'em away i'm afraid need your aid pink elephants on parade pink elephants pink elephants pink elephants,"{'neg': 0.1, 'neu': 0.9, 'pos': 0.0, 'compound': -0.917}",-0.917,0.1,0.0,0.9,2
196,Dumbo,When I See an Elephant Fly,i seen a peanut stand heard a rubber band i seen a needle that winked its eye but i be done seen about everything when i see an elephant fly what'd you say boy i said when i see an elephant fly i seen a front porch swing heard a diamond ring i seen a polka-dot railroad tie but i be done seen about everything when i see an elephant fly i saw a clothes horse rear up and buck and they tell me that a man made a vegetable truck i didn't see that i only heard just to be sociable i'll take your word i heard a fireside chat i saw a baseball bat and i just laughed till i thought i'd die but i be done seen about everything when i see an elephant fly but i be done seen about everything when i see an elephant fly when i see an elephant fly,"{'neg': 0.039, 'neu': 0.88, 'pos': 0.08, 'compound': 0.6808}",0.6808,0.039,0.08,0.88,1
197,Elena of Avalor,Elena of Avalor (Theme Song),in a kingdom old and grand elena a princess bravely rules the land elena with her family by her side elena it a wild and daring ride elena elena of avalor myth and mystery everywhere myth and mystery everywhere loyal friends are always there loyal friends always there magic shines from deep within magic shines from within let her royal reign begin elena elena elena of avalor,"{'neg': 0.0, 'neu': 0.729, 'pos': 0.271, 'compound': 0.9648}",0.9648,0.0,0.271,0.729,1
198,Elena of Avalor,Festival of Love,dia de los muertos is my favorite day we honor all our loved ones who have passed away we go to the graveyard build altars in their name share our memories of them by the candle flame we share our memories of them by the candle flame dia de los muertos the one day of the year we bake up treats so tasty to fill us with good cheer sugar skulls and sweet bread are made with love and care then brought down to the altar for everyone to share they're brought down to the altar for everyone to share this is the day we all await this is the day we celebrate the festival of love the festival of love this is the day we all await this is the day we celebrate the festival of love the festival of love dia de los muertos means more to me this year since mami and papi are no longer here but i'm not feeling sad now i'm feeling joy inside because this festival keeps their memory alive this is the day we all await this is the day we celebrate the festival of love the festival of love ha this is the day we all await this is the day we celebrate the festival of love the festival of love it time to celebrate the festival of love the festival of love the festival of love,"{'neg': 0.018, 'neu': 0.531, 'pos': 0.451, 'compound': 0.9993}",0.9993,0.018,0.451,0.531,1
199,Elena of Avalor,My Time,it feels so weird having my feet on the ground it been a while since i've been walking around with my own eyes i can once again see my dream has come true i am free but now that i'm here there a mission at hand to drive that witch out of our beautiful land i'll banish the darkness and bring back the light 'cause this time i'm ready to fight this is my time my time to face my old foe my time reclaim what was ours long ago this is my time to stand up with honor and pride my time i've come too far to be denied now off i must fly to the palace once more to win back the freedom of all avalor i've spent my whole life waiting just for this day and nothing will get in my way this is my time i have a plan that can't fail my time i won't stop till i prevail my time to honor my family and friends my time this is my time once again this is my time once again,"{'neg': 0.097, 'neu': 0.678, 'pos': 0.225, 'compound': 0.9855}",0.9855,0.097,0.225,0.678,1
200,Elena of Avalor,Ready to Rule,there once was a king who had lost his new crown he frantically searched for it all over town alas he did not hear the shouts as he sped of everyone saying it was right on his head oh he thought he was ready to rule but he still had some learning to do if you listen up more than you speak you will soon gain the wisdom you seek so there no need to rush keep your cool and one day you'll be ready to rule i fully intend to take your good advice but the years i spent watching my dad should suffice to teach me the things that i need to have down like how to know when i am wearing a crown oh i know i'm ready to rule though you think i have learning to do so i'll have to come up with a way i can prove it to you on this day then you will see when i'm through that i am already ready to rule i'll take charge like the leader i know i can be and take care of all those who are counting on me don't you know i hold you in the highest esteem there more to good leadership than it may seem so i know i'm ready to rule but you still have some learning to do now i really must be on my way even though i am begging you stay soon you will see what i say is true no it you who will see when i'm through oh one day you'll be ready i am already ready ha you're almost ready i'll show you i'm ready so ready to rule,"{'neg': 0.035, 'neu': 0.751, 'pos': 0.213, 'compound': 0.9958}",0.9958,0.035,0.213,0.751,1
201,Elena of Avalor,Sister Time,things may be different now since i became crown princess but one thing will never change you mean more than all the rest and even though i must rule i promise you from the start i'll always make time for you because you are in my heart sister sister sister time you can put your doubts away sister sister sister time by your side i'll always stay sister sister sister time nothing will stand in the way of sister sister sister time it the best part of my day but elena it'll have to wait but elena we cannot be late but elena so if you don't mind i'm havin' some sister time sister sister sister time off we go without delay sister sister sister time our adventure under way sister sister sister time nothing will stand in our way sister sister sister time you're the best part of my day sister sister sister time sister sister sister time sister sister sister time by your side i'll always stay,"{'neg': 0.015, 'neu': 0.876, 'pos': 0.109, 'compound': 0.9592}",0.9592,0.015,0.109,0.876,1
202,Elena of Avalor,The Magic Within You,the first time that i met you i could see you were meant to be a hero to us all taking on the forces of the dark with your magic spark and always standing tall you're starting down a path to find your destiny so now is not the time to hide you have to raise your wand and do your best for me because i need you by my side 'cause there a lesson you will not find in a book inside yourself is where you have to look find your courage and your pride inner strength can be your guide and it will always see you through if you believe the magic within you butifno waiti can't these words will hold you down instead just say 'i can' those words will turn things around cast all your doubts away tell all your fears goodbye do what you're meant to do and let your magic fly 'cause there a lesson you will not find in a book inside yourself is where you have to look find your courage and your pride inner strength will be your guide and it will always see you through if you believe the magic within you you must believe the magic within you,"{'neg': 0.03, 'neu': 0.847, 'pos': 0.123, 'compound': 0.9666}",0.9666,0.03,0.123,0.847,1
203,Elena of Avalor: Realm of the Jaquins,A Big Deal,magic swirls through both our realms but what dwells here can overwhelm the meanest beasts you'll ever see almost as strong as a king like me we keep the darkness locked away patrol the valley night and day we built that gateway long ago and closed it remains unless we say so oh oh oh oh oh the rules of the realm keep us secure no one breaks them i make sure obey the rules the threat is real take it from me it a very very big deal a very very big deal a very very big deal the rules of the realm keep us secure no one breaks them i make sure obey the rules the threat is real take it from me it a very very big deal so stay on your side i'll stay on mine and you and i will get on fine there no debate and no appeal take it from me it a very very big deal and i should know 'cause i'm a very very big deal a big deal,"{'neg': 0.132, 'neu': 0.759, 'pos': 0.109, 'compound': -0.545}",-0.545,0.132,0.109,0.759,2
204,Elena of Avalor: Realm of the Jaquins,Got it Down,in my first year of rule i've made some mistakes but i've learned from each one now i've got what it takes being in charge is hard but with all i've seen i've figured it out and i'm prepared to be queen there blue skies ahead our kingdom safely led i know what it means to wear the crown so put your doubts aside we're in for an easy ride because i've finally got it down duende gone bye-bye farewell made sure that moth fairy was repelled evil wizard i broke his spell even those jewel thieves were expelled so now it clear as a bell there blue skies ahead our kingdom safely led i know what it means to wear the crown so put your doubts aside we're in for an easy ride because i've finally got it down everyone is safe and sound across the land in every town because i've finally got it down i've got it down i've got it down,"{'neg': 0.131, 'neu': 0.709, 'pos': 0.16, 'compound': 0.7908}",0.7908,0.131,0.16,0.709,1
205,Elena of Avalor: Realm of the Jaquins,You Can't Catch Me,if i were you i'd turn around you'll never lay a scratch on me i'm far too fast by leaps and bounds try as you may you can't catch me now you see me now you don't think you'll blast me no you won't i'll wrap you up from head to toe and top you with a leafy bow oh towns will crumble trees will rise right before your very eyes you really are no match for me you may try but you can't catch me no no no you can't catch me think you got me think again for this jungle is my life-long friend so if you're smart you'll let me be before you plow into a tree see towns will crumble trees will rise right before your very eyes we'll start anew quite naturally you may try but you can't catch me i'm too sly you can't catch me me oh my you can't catch me so wave good-bye 'cause you can try but you can't catch me don't you see you can't catch me,"{'neg': 0.062, 'neu': 0.887, 'pos': 0.052, 'compound': 0.0118}",0.0118,0.062,0.052,0.887,1
206,The Emperor's New Groove,My Funny Friend and Me,in the quiet time of evening when the stars assume their patterns and the day has made his journey and we wonder just what happened to the life we knew before the world changed when not a thing i held was true but you were kind to me and you reminded me that the world is not my playground there are other things that matter and what is simple needs protecting my illusions all would shatter but you stayed in my corner when the only world i knew was upside down and now the world and we will know you carried me you see the patterns in the big sky those constellations look like you and i just like the patterns in the big sky we could be lost we could refuse to try but we made it through in the dark night would those lucky guys turn out to be but that unusual blend of my funny friend and me i'm not as clever as i thought i was i'm not the boy i used to be because you showed me something different you showed me something pure i always seemed so certain but i was really never sure but you stayed and you called my name when others would have walked out on a lousy game and who could've made it through but your funny friend and me you see the patterns in the big sky those constellations look like you and i that tiny planet and that bigger guy i don't know whether i should laugh or cry just like the patterns in the big sky we'll be together till the end is nigh don't know the answer or the reason why we'll stick together till the day we die if i had to do this all a second time i wouldn't complain or make a fuss when the angels sing of that unlikely blend of those two funny friends that us,"{'neg': 0.071, 'neu': 0.768, 'pos': 0.162, 'compound': 0.987}",0.987,0.071,0.162,0.768,1
207,The Emperor's New Groove,Perfect World,there are despots and dictators political manipulators there are blue bloods with the intellects of fleas there are kings and petty tyrants who are so lacking in refinements they'd be better suited swinging from the trees he was born and raised to rule no one has ever been this cool in a thousand years of aristocracy an enigma and a mystery in meso american history the quintessence of perfection that is he he the sovereign of the nation he the hippest cat in creation he the alpha the omega a to z and this perfect world will spin around his every little whim 'cause this perfect world begins and ends with what his name kuzco that his name kuzco he the king of the world kuzco is he hip or what kuzco yeah,"{'neg': 0.027, 'neu': 0.804, 'pos': 0.169, 'compound': 0.9685}",0.9685,0.027,0.169,0.804,1
208,The Emperor's New Groove,Perfect World (Reprise),you'd be the coolest dude in the nation or the hippest cat in creation but if your ain't got friends then nothing worth the fuss a perfect world will come to be when everybody here can see that a perfect world begins and ends a perfect world begins and ends a perfect world begins and ends with us kuzco kuzco what his name kuzco kuzco everybody listen to him talk oh yes he the man all right he the king of the world do you like him kuzco all right kuzco kuzco kuzco kuzco kuzco kuzco kuzco,"{'neg': 0.045, 'neu': 0.713, 'pos': 0.242, 'compound': 0.9781}",0.9781,0.045,0.242,0.713,1
209,Enchanted,Ever Ever After,ever ever after storybook endings fairy tales coming true deep down inside we wanna believe they still do in our secretest heart it our favorite part of the story let just admit we all wanna make it to ever ever after if we just don't get it our own way ever ever after it may only be a wish away start a new fashion wear your heart on your sleeve sometimes you reach what realest by making believe unafraid unashamed there is joy to be claimed in this world you even might wind up being glad to be you ever ever after though the world will tell you it not smart ever ever after the world can be yours if you let your heart believe in ever after no wonder your heart feels it flying your head feels it spinning each happy ending a brand new beginning let yourself be enchanted you just might break through to ever ever after forever could even start today ever ever after maybe it just one wish away your ever ever after ever ever ever after oh ever ever after,"{'neg': 0.022, 'neu': 0.844, 'pos': 0.134, 'compound': 0.9672}",0.9672,0.022,0.134,0.844,1
210,Enchanted,Happy Working Song,all right everyone let tidy things up come my little friends as we all sing a happy little working song merry little voices clear and strong come and roll your sleeves up so to speak and pitch in cleaning crud up in the kitchen as we sing along and trill a cheery tune in the tub as we scrub a stubborn mildew stain pluck a hairball from the shower drain to the gay refrain of a happy working song we'll keep singing without fail otherwise we'd spoil it hosing down the garbage pail and scrubbing up the toilet ooh how we all enjoy letting loose with a little la-da-dum-dum-dum while we're emptying the vacu-um it such fun to hum a happy working song oo-ooh a happy working song oh how strange a place to be till edward comes for me my heart is sighing still as long as i am here i guess a new experience could be worth trying hey keep drying you can do a lot when you got such a happy working tune to hum while you're sponging up the soapy scum we adore each filthy chore that we determine so friends even though you're vermin we're a happy working throng singing as we fetch the detergent box or the smelly shirts and the stinky socks sing along if you cannot sing then hum along as we're finishing our happy working song ah wasn't this fun,"{'neg': 0.04, 'neu': 0.733, 'pos': 0.228, 'compound': 0.9946}",0.9946,0.04,0.228,0.733,1
